Taxa,plant,ra,z_land,p_land,z_even,p_even,p_land_BH,p_even_BH,target,target_k,target_p,target_c,guild
Inocybe,Acer,perc25,1.64564076560765,0.101210121012101,-1.70633267953972,0.0061006100610061,0.147479704408001,0.0408835983821099,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Acer,median,1.23223553372557,0.139013901390139,-1.65531835130174,0.0115011501150115,0.193258531579318,0.0622987591288382,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Acer,perc75,1.08953577953795,0.161416141614161,-2.10133623343116,0.0178017801780178,0.218992020878519,0.0807318109354266,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Populus,perc25,0.780591122610746,0.245924592459246,-1.50076112073177,0.134213421342134,0.311597637036431,0.260547216011924,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Populus,median,0.234571073695973,0.364636463646365,-1.16546914453134,0.198719871987199,0.433203659750348,0.324442807818492,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Populus,perc75,-0.378821214842488,0.613261326132613,-0.899290701767585,0.294929492949295,0.669527913806793,0.40301673219093,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Juglans,perc25,NA,NA,NA,NA,NA,NA,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Juglans,median,NA,NA,NA,NA,NA,NA,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Inocybe,Juglans,perc75,NA,NA,NA,NA,NA,NA,Fng_*Inocybe*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Betula,perc25,-0.496875455193374,0.359135913591359,-0.154691207393762,0.111111111111111,0.427850679804823,0.234045035585113,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Betula,median,0.250116717756365,0.432043204320432,-2.17297202835396,0.152415241524152,0.49786260922743,0.280585782652906,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Betula,perc75,1.33733565008987,0.15051505150515,-1.12163254363909,0.389438943894389,0.20676502968572,0.464547782825854,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Larix,perc25,2.62935692420388,0.0216021602160216,2.4066409362926,0.0219021902190219,0.0386183511462785,0.0926915476357762,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Larix,median,3.5151203893249,0.0278027802780278,-0.586570465006477,0.657765776577658,0.0482979053819981,0.686632167119574,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Larix,perc75,2.58113735933795,0.0595059505950595,-0.621256353543087,0.619261926192619,0.0931336960054207,0.649480354100241,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Pinus,perc25,1.02580434927365,0.143414341434143,0.102413905894978,0.44004400440044,0.19823180665174,0.497051356477363,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Lactarius,Pinus,median,1.37981889109071,0.0913091309130913,-1.42787721822233,0.105310531053105,0.135046002757977,0.227316634102435,Fng_*Lactarius*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
